execCombinationId,planFlowId,planId,expArrivalTime,expDepartureTime,expInterchange,expChangeAt,actArrivalTime,actDepartureTime,actInterchange,actChangeAt,soft_rule_key,status,expHasWalkLeg,actHasWalkLeg
13_DEC25_132,124364172,1,05:31:00,00:44:00,3,"{
  ""expChangeAt"": [{
    ""nlc"": ""2970"",
    ""interchangeTime"": null
  }, {
    ""nlc"": ""2968"",
    ""interchangeTime"": null
  }, {
    ""nlc"": ""8487"",
    ""interchangeTime"": null
  }]
}",,,,"{
  ""actChangeAt"": []
}",,Expected Only,,
13_DEC25_132,124364173,1,11:31:00,08:32:00,3,"{
  ""expChangeAt"": [{
    ""nlc"": ""2970"",
    ""interchangeTime"": null
  }, {
    ""nlc"": ""2968"",
    ""interchangeTime"": null
  }, {
    ""nlc"": ""8487"",
    ""interchangeTime"": null
  }]
}",,,,"{
  ""actChangeAt"": []
}",,Expected Only,,
13_DEC25_132,142995872,1,00:12:00,23:24:00,1,"{
  ""expChangeAt"": [{
    ""nlc"": ""1457"",
    ""interchangeTime"": null
  }]
}",,,,"{
  ""actChangeAt"": []
}",,Expected Only,,
13_DEC25_132,173496552,1,00:08:00,00:04:00,0,"{
  ""expChangeAt"": []
}",,,,"{
  ""actChangeAt"": []
}",,Expected Only,,
13_DEC25_132,205896141,1,10:29:00,08:40:00,1,"{
  ""expChangeAt"": [{
    ""nlc"": ""2118"",
    ""interchangeTime"": null
  }]
}",,,,"{
  ""actChangeAt"": []
}",,Expected Only,,
13_DEC25_132,209094901,1,23:46:00,21:11:00,1,"{
  ""expChangeAt"": [{
    ""nlc"": ""2118"",
    ""interchangeTime"": null
  }]
}",,,,"{
  ""actChangeAt"": []
}",,Expected Only,,
13_DEC25_132,210294901,1,23:46:00,21:36:00,1,"{
  ""expChangeAt"": [{
    ""nlc"": ""2118"",
    ""interchangeTime"": null
  }]
}",,,,"{
  ""actChangeAt"": []
}",,Expected Only,,
13_DEC25_132,211843873,1,00:20:00,20:18:00,2,"{
  ""expChangeAt"": [{
    ""nlc"": ""2246"",
    ""interchangeTime"": null
  }, {
    ""nlc"": ""1243"",
    ""interchangeTime"": null
  }]
}",,,,"{
  ""actChangeAt"": []
}",,Expected Only,,
13_DEC25_132,309295862,1,00:14:00,00:09:00,0,"{
  ""expChangeAt"": []
}",,,,"{
  ""actChangeAt"": []
}",,Expected Only,,
13_DEC25_132,380999023,1,09:27:00,08:27:00,1,"{
  ""expChangeAt"": [{
    ""nlc"": ""3899"",
    ""interchangeTime"": null
  }]
}",,,,"{
  ""actChangeAt"": []
}",,Expected Only,,
13_DEC25_132,380999163,1,09:41:00,08:27:00,1,"{
  ""expChangeAt"": [{
    ""nlc"": ""3899"",
    ""interchangeTime"": null
  }]
}",,,,"{
  ""actChangeAt"": []
}",,Expected Only,,
13_DEC25_132,380999193,1,09:34:00,08:27:00,1,"{
  ""expChangeAt"": [{
    ""nlc"": ""3899"",
    ""interchangeTime"": null
  }]
}",,,,"{
  ""actChangeAt"": []
}",,Expected Only,,
13_DEC25_132,380999203,1,09:22:00,08:27:00,1,"{
  ""expChangeAt"": [{
    ""nlc"": ""3899"",
    ""interchangeTime"": null
  }]
}",,,,"{
  ""actChangeAt"": []
}",,Expected Only,,
13_DEC25_132,380999213,1,09:18:00,08:27:00,1,"{
  ""expChangeAt"": [{
    ""nlc"": ""3899"",
    ""interchangeTime"": null
  }]
}",,,,"{
  ""actChangeAt"": []
}",,Expected Only,,
13_DEC25_132,438721183,1,18:50:00,15:56:00,2,"{
  ""expChangeAt"": [{
    ""nlc"": ""1243"",
    ""interchangeTime"": null
  }, {
    ""nlc"": ""2363"",
    ""interchangeTime"": null
  }]
}",,,,"{
  ""actChangeAt"": []
}",,Expected Only,,
